,vel,mean time,std time
0,12000.0,77279.3400856429,145.99204481675224
1,12333.333333333334,67337.23279469085,95.62792526762121
2,12666.666666666666,60341.56918453963,68.36897289277391
3,13000.0,55057.0052725143,51.73100664305843
4,13333.333333333334,50876.51815884145,40.68695928199265
5,13666.666666666666,47456.22436500756,33.10030040900066
6,14000.0,44585.61529710933,27.352817457858805
7,14333.333333333332,42130.9569233667,23.18785087999567
8,14666.666666666666,39997.54573710072,19.84685794319683
9,15000.0,38121.192654131286,17.163255991295433
